Id,Label,mergenode,businesstable
101,PLACE.E53,HERITAGE_FEATURE.24,
102,MODERN_COUNTRY_TERRITORY.E48,PLACE.E53,
103,COUNTRY_TYPE.E55,MODERN_COUNTRY_TERRITORY.E48,
104,COUNTRY_TYPE_AUTHORITY_DOCUMENT.E32,COUNTRY_TYPE.E55,domains
105,ADMINISTRATIVE_DIVISION.E53,PLACE.E53,
106,ADMINISTRATIVE_DIVISION_TYPE.E55,ADMINISTRATIVE_DIVISION.E53,
107,ADMINISTRATIVE_DIVISION_TYPE_AUTHORITY_DOCUMENT.E32,ADMINISTRATIVE_DIVISION_TYPE.E55,domains
108,ADMINISTRATIVE_DIVISION_NAME.E44,ADMINISTRATIVE_DIVISION.E53,strings
109,TOPOGRAPHY_TYPE.E55,PLACE.E53,domains
110,TOPOGRAPHY_TYPE_AUTHORITY_DOCUMENT.E32,TOPOGRAPHY_TYPE.E55,
111,DECLARATIVE_PLACE.SP6,PLACE.E53,
112,GEOMETRY_EXTENT_OBSERVATION.S4,DECLARATIVE_PLACE.SP6,
113,GEOMETRY_EXTENT_CERTAINTY.I6,GEOMETRY_EXTENT_OBSERVATION.S4,domains
114,GEOMETRY_EXTENT_CERTAINTY_AUTHORITY_DOCUMENT.E32,GEOMETRY_EXTENT_CERTAINTY.I6,
115,GEOMETRY_EXTENT_CERTAINTY_DEFINITION.S9,GEOMETRY_EXTENT_OBSERVATION.S4,
144,GEOMETRY_EXTENT_CERTAINTY_DEFINITION.E31,GEOMETRY_EXTENT_CERTAINTY_DEFINITION.S9,
116,GEOMETRIC_PLACE_EXPRESSION.SP5,DECLARATIVE_PLACE.SP6,geometries
117,GEOMETRY_LOCATION_OBSERVATION.S4,GEOMETRIC_PLACE_EXPRESSION.SP5,
118,LOCATION_CERTAINTY_TYPE_DEFINITION.S9,GEOMETRY_LOCATION_OBSERVATION.S4,
119,LOCATION_CERTAINTY_DEFINITION.E31,LOCATION_CERTAINTY_TYPE_DEFINITION.S9,
120,LOCATION_CERTAINTY.I6,GEOMETRY_LOCATION_OBSERVATION.S4,domains
121,LOCATION_CERTAINTY_AUTHORITY_DOCUMENT.E32,LOCATION_CERTAINTY.I6,
122,SPATIAL_COORDINATES_REF_SYSTEM.SP4,GEOMETRIC_PLACE_EXPRESSION.SP5,
123,SPATIAL_COORDINATES_REF_SYSTEM_AUTHORITY_DOCUMENT.E32,SPATIAL_COORDINATES_REF_SYSTEM.SP4,
124,CADASTRAL_REFERENCE.E44,PLACE.E53,strings
125,CADASTRAL_REFERENCE_TYPE_DEFINITION.E55,CADASTRAL_REFERENCE.E44,
126,CADASTRAL_REFERENCE_DEFINITION.E31,CADASTRAL_REFERENCE_TYPE_DEFINITION.E55,
127,ADDRESS.E45,PLACE.E53,strings
128,ADDRESS_TYPE.E55,ADDRESS.E45,domains
129,ADDRESS_TYPE_AUTHORITY_DOCUMENT.E32,ADDRESS_TYPE.E55,
130,GRID_ID.E42,PLACE.E53,strings
131,GRID_ID_TYPE_DEFINITION.E55,GRID_ID.E42,
132,GRID_ID_DEFINITION.E31,GRID_ID_TYPE_DEFINITION.E55,
133,SITE_OVERALL_SHAPE_TYPE.E55,PLACE.E53,domains
134,SITE_OVERALL_SHAPE_AUTHORITY_DOCUMENT.E32,SITE_OVERALL_SHAPE_TYPE.E55,
135,MEASUREMENTS.E16,HERITAGE_FEATURE.E24,
136,DIMENSION.E54,MEASUREMENTS.E16,
137,MEASUREMENT_NUMBER.E60,DIMENSION.E54,numbers
138,MEASUREMENT_UNIT.E58,DIMENSION.E54,domains
139,UNIT_AUTHORITY_DOCUMENT.E32,UNIT.E58,
140,MEASUREMENT_SOURCE_TYPE.E55,MEASUREMENTS.E16,domains
141,MEASUREMENT_SOURCE_TYPE_AUTHORITY_DOCUMENT.E32,MEASUREMENT_SOURCE_TYPE.E55,
142,DIMENSION_TYPE.E55,DIMENSION.E54,domains
143,DIMENSION_TYPE_AUTHORITY_DOCUMENT.E32,DIMENSION_TYPE.E55,
150,HERITAGE_FEATURE.E24,HERITAGE_FEATURE.E24,
1,INVESTIGATION_ASSESSMENT_ACTIVITY.E7,HERITAGE_FEATURE.E24,
2,ASSESSMENT_ACTIVITY_TIMESPAN.E52,INVESTIGATION_ASSESSMENT_ACTIVITY.E7,
3,ASSESSMENT_ACTIVITY_DATE.E49,ASSESSMENT_ACTIVITY_TIMESPAN.E52,dates
4,ASSESSMENT_ACTIVITY_TYPE.E55,INVESTIGATION_ASSESSMENT_ACTIVITY.E7,domains
5,ACTIVITY_TYPE_AUTHORITY_DOCUMENT.E32,ACTIVITY_TYPE.E55,
6,INVESTIGATOR.E39,INVESTIGATION_ASSESSMENT_ACTIVITY.E7,
7,INVESTIGATOR_NAME.E41,INVESTIGATOR.E39,strings
8,INVESTIGATOR_ROLE_TYPE.E55,INVESTIGATOR.E39,domains
9,INVESTIGATORE_ROLE_TYPE_AUTHORITY_DOCUMENT.E32,INVESTIGATOR_ROLE_TYPE.E55,
10,CONDITION_ASSESSMENT.E14,HERITAGE_FEATURE.E24,
12,RECOMMENDATION_PLAN.E100,DAMAGE_STATE.E3,
13,RECOMMENDATION_TYPE.E55,RECOMMENDATION_PLAN.E100,domains
14,RECOMMENDATION_TYPE_AUTHORITY_DOCUMENT.E32,RECOMMENDATION_TYPE.E55,
15,INTERVENTION_ACTIVITY_TYPE.E55,RECOMMENDATION_PLAN.E100,domains
16,INTERVENTION_ACTIVITY_AUTHORITY_DOCUMENT.E32,INTERVENTION_ACTIVITY_TYPE.E55,
17,PRIORITY_ASSIGNMENT.E13,RECOMMENDATION_PLAN.E100,
18,PRIORITY_TYPE.E55,PRIORITY_ASSIGNMENT.E13,domains
19,PRIORITY_TYPE_AUTHORITY_DOCUMENT.E32,PRIORITY_TYPE.E55,
20,DAMAGE_STATE.E3,CONDITION_ASSESSMENT.E14,
21,DAMAGE_OBSERVATION.S4,DAMAGE_STATE.E3,
